file_name,label,n_values,mean,std,min,max,ptp,rms,zero_crossings,mean_abs_dev
Flicker.csv,Flicker,100000,-5.801932516337525e-05,0.7421024397492694,-1.09952047380489,1.09827078034715,2.1977912541520404,0.7420987314958497,2459,0.6679312139887497
Flicker_with_Sag.csv,Flicker with Sag,100000,0.007457707038648625,0.5763329301024122,-1.09728122377908,1.09298559461925,2.19026681839833,0.5763782977509155,2469,0.483048244847213
Flicker_with_Swell.csv,Flicker with Swell,100000,0.002150438317843955,0.9478109235140707,-1.87997569338846,1.8921739725932,3.77214966598166,0.9478086239648208,2463,0.8343810827237804
Harmonics.csv,Harmonics,100000,-1.7674331778943369e-19,0.7184362518179511,-1.39351506400067,1.39351506400067,2.78703012800134,0.7184326596277115,2530,0.6410594713764367
Harmonics_with_Sag.csv,Harmonics with Sag,100000,-0.0013721216601237712,0.5533770942135,-1.2742856662585,1.2695622099679,2.5438478762264003,0.5533760284435377,2483,0.4552998698749622
Harmonics_with_Swell.csv,Harmonics with Swell,100000,-0.002442080404041313,0.9231047411090852,-2.18583873961274,2.12041944261146,4.3062581822242,0.9231033558552045,2490,0.8074202829180269
Interruption.csv,Interruption,100000,0.1462935964265175,0.4255138178161328,-1.0,1.0,2.0,0.4499577923403197,1000,0.3227365740527103
Notch.csv,Notch,100000,1.7589526580255607e-06,0.6894633821278037,-0.999999999933707,0.999999999933707,1.999999999867414,0.6894599348045184,3503,0.6163425469889697
Oscillatory_Transient.csv,Oscillatory Transient,100000,-0.00026642814900004866,0.728937523876894,-1.74561038930982,1.76130562766718,3.5069160169769997,0.7289339278704201,3982,0.6465229843122672
Pure_Sinusoidal.csv,Pure Sinusoidal,100000,-8.884219607356848e-17,0.7071103167469702,-1.0,1.0,2.0,0.7071067811865476,1000,0.6364103190754793
Sag.csv,Sag,100000,0.07122946282569569,0.5342204656759322,-1.0,1.0,2.0,0.5389455338031733,1000,0.45017551820116336
Sag_with_Harmonics.csv,Sag with Harmonics,100000,-0.005366568461315946,0.5479665900864134,-0.999999999708779,0.999999996711643,1.999999996420422,0.5479901287743629,2818,0.4549254861060327
Sag_with_Oscillatory_Transient.csv,Sag with Oscillatory Transient,100000,0.0025419360474799976,0.5796182422003887,-1.60212082349235,1.5985091766657,3.20063000015805,0.5796209179776649,7145,0.48529171229938306
Swell.csv,Swell,100000,-0.07178203847381005,0.9111058782351732,-1.79974669743459,1.79974669743459,3.59949339486918,0.9139246584171632,1000,0.8044407816133016
Swell_with_Harmonics.csv,Swell with Harmonics,100000,-0.0024799042538000103,0.9045816262602131,-1.95034767906676,1.95034767906676,3.90069535813352,0.904580502671539,2494,0.7959997287581154
Swell_with_Oscillatory_Transient.csv,Swell with Oscillatory Transient,100000,6.213443625427387e-05,0.9294771585260937,-2.46011566134761,2.48571940584417,4.94583506719178,0.9294725132054994,3373,0.8101924701085038
Transient.csv,Transient,100000,0.0036933148391786147,0.7072429723621195,-1.03892332653981,1.24130464733979,2.2802279738796,0.7072490796062498,2512,0.6365844882455108
